"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"NE","Adams","31001","3100100000","Governor","statewide",10219,"Democrat","Bob Krist",3152
"NE","Adams","31001","3100100000","Governor","statewide",10219,"Republican","Pete Ricketts",7067
"NE","Antelope","31003","3100300000","Governor","statewide",2543,"Democrat","Bob Krist",440
"NE","Antelope","31003","3100300000","Governor","statewide",2543,"Republican","Pete Ricketts",2103
"NE","Arthur","31005","3100500000","Governor","statewide",227,"Democrat","Bob Krist",31
"NE","Arthur","31005","3100500000","Governor","statewide",227,"Republican","Pete Ricketts",196
"NE","Banner","31007","3100700000","Governor","statewide",316,"Democrat","Bob Krist",62
"NE","Banner","31007","3100700000","Governor","statewide",316,"Republican","Pete Ricketts",254
"NE","Blaine","31009","3100900000","Governor","statewide",264,"Democrat","Bob Krist",49
"NE","Blaine","31009","3100900000","Governor","statewide",264,"Republican","Pete Ricketts",215
"NE","Boone","31011","3101100000","Governor","statewide",2312,"Democrat","Bob Krist",440
"NE","Boone","31011","3101100000","Governor","statewide",2312,"Republican","Pete Ricketts",1872
"NE","Box Butte","31013","3101300000","Governor","statewide",3621,"Democrat","Bob Krist",1096
"NE","Box Butte","31013","3101300000","Governor","statewide",3621,"Republican","Pete Ricketts",2525
"NE","Boyd","31015","3101500000","Governor","statewide",961,"Democrat","Bob Krist",152
"NE","Boyd","31015","3101500000","Governor","statewide",961,"Republican","Pete Ricketts",809
"NE","Brown","31017","3101700000","Governor","statewide",1365,"Democrat","Bob Krist",214
"NE","Brown","31017","3101700000","Governor","statewide",1365,"Republican","Pete Ricketts",1151
"NE","Buffalo","31019","3101900000","Governor","statewide",16322,"Democrat","Bob Krist",5154
"NE","Buffalo","31019","3101900000","Governor","statewide",16322,"Republican","Pete Ricketts",11168
"NE","Burt","31021","3102100000","Governor","statewide",2949,"Democrat","Bob Krist",976
"NE","Burt","31021","3102100000","Governor","statewide",2949,"Republican","Pete Ricketts",1973
"NE","Butler","31023","3102300000","Governor","statewide",3502,"Democrat","Bob Krist",870
"NE","Butler","31023","3102300000","Governor","statewide",3502,"Republican","Pete Ricketts",2632
"NE","Cass","31025","3102500000","Governor","statewide",10632,"Democrat","Bob Krist",3709
"NE","Cass","31025","3102500000","Governor","statewide",10632,"Republican","Pete Ricketts",6923
"NE","Cedar","31027","3102700000","Governor","statewide",3530,"Democrat","Bob Krist",755
"NE","Cedar","31027","3102700000","Governor","statewide",3530,"Republican","Pete Ricketts",2775
"NE","Chase","31029","3102900000","Governor","statewide",1559,"Democrat","Bob Krist",205
"NE","Chase","31029","3102900000","Governor","statewide",1559,"Republican","Pete Ricketts",1354
"NE","Cherry","31031","3103100000","Governor","statewide",2405,"Democrat","Bob Krist",426
"NE","Cherry","31031","3103100000","Governor","statewide",2405,"Republican","Pete Ricketts",1979
"NE","Cheyenne","31033","3103300000","Governor","statewide",3249,"Democrat","Bob Krist",715
"NE","Cheyenne","31033","3103300000","Governor","statewide",3249,"Republican","Pete Ricketts",2534
"NE","Clay","31035","3103500000","Governor","statewide",2686,"Democrat","Bob Krist",564
"NE","Clay","31035","3103500000","Governor","statewide",2686,"Republican","Pete Ricketts",2122
"NE","Colfax","31037","3103700000","Governor","statewide",2503,"Democrat","Bob Krist",738
"NE","Colfax","31037","3103700000","Governor","statewide",2503,"Republican","Pete Ricketts",1765
"NE","Cuming","31039","3103900000","Governor","statewide",3379,"Democrat","Bob Krist",697
"NE","Cuming","31039","3103900000","Governor","statewide",3379,"Republican","Pete Ricketts",2682
"NE","Custer","31041","3104100000","Governor","statewide",4639,"Democrat","Bob Krist",778
"NE","Custer","31041","3104100000","Governor","statewide",4639,"Republican","Pete Ricketts",3861
"NE","Dakota","31043","3104300000","Governor","statewide",4542,"Democrat","Bob Krist",1841
"NE","Dakota","31043","3104300000","Governor","statewide",4542,"Republican","Pete Ricketts",2701
"NE","Dawes","31045","3104500000","Governor","statewide",3367,"Democrat","Bob Krist",1188
"NE","Dawes","31045","3104500000","Governor","statewide",3367,"Republican","Pete Ricketts",2179
"NE","Dawson","31047","3104700000","Governor","statewide",6264,"Democrat","Bob Krist",1706
"NE","Dawson","31047","3104700000","Governor","statewide",6264,"Republican","Pete Ricketts",4558
"NE","Deuel","31049","3104900000","Governor","statewide",712,"Democrat","Bob Krist",127
"NE","Deuel","31049","3104900000","Governor","statewide",712,"Republican","Pete Ricketts",585
"NE","Dixon","31051","3105100000","Governor","statewide",2247,"Democrat","Bob Krist",581
"NE","Dixon","31051","3105100000","Governor","statewide",2247,"Republican","Pete Ricketts",1666
"NE","Dodge","31053","3105300000","Governor","statewide",12090,"Democrat","Bob Krist",4633
"NE","Dodge","31053","3105300000","Governor","statewide",12090,"Republican","Pete Ricketts",7457
"NE","Douglas","31055","3105500000","Governor","statewide",204355,"Democrat","Bob Krist",108235
"NE","Douglas","31055","3105500000","Governor","statewide",204355,"Republican","Pete Ricketts",96120
"NE","Dundy","31057","3105700000","Governor","statewide",773,"Democrat","Bob Krist",119
"NE","Dundy","31057","3105700000","Governor","statewide",773,"Republican","Pete Ricketts",654
"NE","Fillmore","31059","3105900000","Governor","statewide",2542,"Democrat","Bob Krist",752
"NE","Fillmore","31059","3105900000","Governor","statewide",2542,"Republican","Pete Ricketts",1790
"NE","Franklin","31061","3106100000","Governor","statewide",1363,"Democrat","Bob Krist",254
"NE","Franklin","31061","3106100000","Governor","statewide",1363,"Republican","Pete Ricketts",1109
"NE","Frontier","31063","3106300000","Governor","statewide",1048,"Democrat","Bob Krist",191
"NE","Frontier","31063","3106300000","Governor","statewide",1048,"Republican","Pete Ricketts",857
"NE","Furnas","31065","3106500000","Governor","statewide",2138,"Democrat","Bob Krist",371
"NE","Furnas","31065","3106500000","Governor","statewide",2138,"Republican","Pete Ricketts",1767
"NE","Gage","31067","3106700000","Governor","statewide",8342,"Democrat","Bob Krist",3092
"NE","Gage","31067","3106700000","Governor","statewide",8342,"Republican","Pete Ricketts",5250
"NE","Garden","31069","3106900000","Governor","statewide",1004,"Democrat","Bob Krist",186
"NE","Garden","31069","3106900000","Governor","statewide",1004,"Republican","Pete Ricketts",818
"NE","Garfield","31071","3107100000","Governor","statewide",797,"Democrat","Bob Krist",131
"NE","Garfield","31071","3107100000","Governor","statewide",797,"Republican","Pete Ricketts",666
"NE","Gosper","31073","3107300000","Governor","statewide",835,"Democrat","Bob Krist",150
"NE","Gosper","31073","3107300000","Governor","statewide",835,"Republican","Pete Ricketts",685
"NE","Grant","31075","3107500000","Governor","statewide",302,"Democrat","Bob Krist",42
"NE","Grant","31075","3107500000","Governor","statewide",302,"Republican","Pete Ricketts",260
"NE","Greeley","31077","3107700000","Governor","statewide",1003,"Democrat","Bob Krist",251
"NE","Greeley","31077","3107700000","Governor","statewide",1003,"Republican","Pete Ricketts",752
"NE","Hall","31079","3107900000","Governor","statewide",16730,"Democrat","Bob Krist",5661
"NE","Hall","31079","3107900000","Governor","statewide",16730,"Republican","Pete Ricketts",11069
"NE","Hamilton","31081","3108100000","Governor","statewide",4118,"Democrat","Bob Krist",904
"NE","Hamilton","31081","3108100000","Governor","statewide",4118,"Republican","Pete Ricketts",3214
"NE","Harlan","31083","3108300000","Governor","statewide",1504,"Democrat","Bob Krist",273
"NE","Harlan","31083","3108300000","Governor","statewide",1504,"Republican","Pete Ricketts",1231
"NE","Hayes","31085","3108500000","Governor","statewide",395,"Democrat","Bob Krist",42
"NE","Hayes","31085","3108500000","Governor","statewide",395,"Republican","Pete Ricketts",353
"NE","Hitchcock","31087","3108700000","Governor","statewide",1077,"Democrat","Bob Krist",191
"NE","Hitchcock","31087","3108700000","Governor","statewide",1077,"Republican","Pete Ricketts",886
"NE","Holt","31089","3108900000","Governor","statewide",4162,"Democrat","Bob Krist",823
"NE","Holt","31089","3108900000","Governor","statewide",4162,"Republican","Pete Ricketts",3339
"NE","Hooker","31091","3109100000","Governor","statewide",317,"Democrat","Bob Krist",58
"NE","Hooker","31091","3109100000","Governor","statewide",317,"Republican","Pete Ricketts",259
"NE","Howard","31093","3109300000","Governor","statewide",2426,"Democrat","Bob Krist",633
"NE","Howard","31093","3109300000","Governor","statewide",2426,"Republican","Pete Ricketts",1793
"NE","Jefferson","31095","3109500000","Governor","statewide",2986,"Democrat","Bob Krist",944
"NE","Jefferson","31095","3109500000","Governor","statewide",2986,"Republican","Pete Ricketts",2042
"NE","Johnson","31097","3109700000","Governor","statewide",1796,"Democrat","Bob Krist",672
"NE","Johnson","31097","3109700000","Governor","statewide",1796,"Republican","Pete Ricketts",1124
"NE","Kearney","31099","3109900000","Governor","statewide",2625,"Democrat","Bob Krist",605
"NE","Kearney","31099","3109900000","Governor","statewide",2625,"Republican","Pete Ricketts",2020
"NE","Keith","31101","3110100000","Governor","statewide",3200,"Democrat","Bob Krist",684
"NE","Keith","31101","3110100000","Governor","statewide",3200,"Republican","Pete Ricketts",2516
"NE","Keya Paha","31103","3110300000","Governor","statewide",390,"Democrat","Bob Krist",43
"NE","Keya Paha","31103","3110300000","Governor","statewide",390,"Republican","Pete Ricketts",347
"NE","Kimball","31105","3110500000","Governor","statewide",1380,"Democrat","Bob Krist",263
"NE","Kimball","31105","3110500000","Governor","statewide",1380,"Republican","Pete Ricketts",1117
"NE","Knox","31107","3110700000","Governor","statewide",3599,"Democrat","Bob Krist",818
"NE","Knox","31107","3110700000","Governor","statewide",3599,"Republican","Pete Ricketts",2781
"NE","Lancaster","31109","3110900000","Governor","statewide",116506,"Democrat","Bob Krist",64946
"NE","Lancaster","31109","3110900000","Governor","statewide",116506,"Republican","Pete Ricketts",51560
"NE","Lincoln","31111","3111100000","Governor","statewide",12519,"Democrat","Bob Krist",3174
"NE","Lincoln","31111","3111100000","Governor","statewide",12519,"Republican","Pete Ricketts",9345
"NE","Logan","31113","3111300000","Governor","statewide",335,"Democrat","Bob Krist",28
"NE","Logan","31113","3111300000","Governor","statewide",335,"Republican","Pete Ricketts",307
"NE","Loup","31115","3111500000","Governor","statewide",307,"Democrat","Bob Krist",57
"NE","Loup","31115","3111500000","Governor","statewide",307,"Republican","Pete Ricketts",250
"NE","Madison","31119","3111900000","Governor","statewide",10465,"Democrat","Bob Krist",2559
"NE","Madison","31119","3111900000","Governor","statewide",10465,"Republican","Pete Ricketts",7906
"NE","McPherson","31117","3111700000","Governor","statewide",256,"Democrat","Bob Krist",45
"NE","McPherson","31117","3111700000","Governor","statewide",256,"Republican","Pete Ricketts",211
"NE","Merrick","31121","3112100000","Governor","statewide",3377,"Democrat","Bob Krist",682
"NE","Merrick","31121","3112100000","Governor","statewide",3377,"Republican","Pete Ricketts",2695
"NE","Morrill","31123","3112300000","Governor","statewide",2115,"Democrat","Bob Krist",474
"NE","Morrill","31123","3112300000","Governor","statewide",2115,"Republican","Pete Ricketts",1641
"NE","Nance","31125","3112500000","Governor","statewide",1246,"Democrat","Bob Krist",318
"NE","Nance","31125","3112500000","Governor","statewide",1246,"Republican","Pete Ricketts",928
"NE","Nemaha","31127","3112700000","Governor","statewide",2616,"Democrat","Bob Krist",791
"NE","Nemaha","31127","3112700000","Governor","statewide",2616,"Republican","Pete Ricketts",1825
"NE","Nuckolls","31129","3112900000","Governor","statewide",1765,"Democrat","Bob Krist",340
"NE","Nuckolls","31129","3112900000","Governor","statewide",1765,"Republican","Pete Ricketts",1425
"NE","Otoe","31131","3113100000","Governor","statewide",6371,"Democrat","Bob Krist",2107
"NE","Otoe","31131","3113100000","Governor","statewide",6371,"Republican","Pete Ricketts",4264
"NE","Pawnee","31133","3113300000","Governor","statewide",1154,"Democrat","Bob Krist",350
"NE","Pawnee","31133","3113300000","Governor","statewide",1154,"Republican","Pete Ricketts",804
"NE","Perkins","31135","3113500000","Governor","statewide",1224,"Democrat","Bob Krist",195
"NE","Perkins","31135","3113500000","Governor","statewide",1224,"Republican","Pete Ricketts",1029
"NE","Phelps","31137","3113700000","Governor","statewide",3855,"Democrat","Bob Krist",693
"NE","Phelps","31137","3113700000","Governor","statewide",3855,"Republican","Pete Ricketts",3162
"NE","Pierce","31139","3113900000","Governor","statewide",2775,"Democrat","Bob Krist",398
"NE","Pierce","31139","3113900000","Governor","statewide",2775,"Republican","Pete Ricketts",2377
"NE","Platte","31141","3114100000","Governor","statewide",11043,"Democrat","Bob Krist",2473
"NE","Platte","31141","3114100000","Governor","statewide",11043,"Republican","Pete Ricketts",8570
"NE","Polk","31143","3114300000","Governor","statewide",2088,"Democrat","Bob Krist",438
"NE","Polk","31143","3114300000","Governor","statewide",2088,"Republican","Pete Ricketts",1650
"NE","Red Willow","31145","3114500000","Governor","statewide",3889,"Democrat","Bob Krist",728
"NE","Red Willow","31145","3114500000","Governor","statewide",3889,"Republican","Pete Ricketts",3161
"NE","Richardson","31147","3114700000","Governor","statewide",3091,"Democrat","Bob Krist",829
"NE","Richardson","31147","3114700000","Governor","statewide",3091,"Republican","Pete Ricketts",2262
"NE","Rock","31149","3114900000","Governor","statewide",667,"Democrat","Bob Krist",94
"NE","Rock","31149","3114900000","Governor","statewide",667,"Republican","Pete Ricketts",573
"NE","Saline","31151","3115100000","Governor","statewide",4221,"Democrat","Bob Krist",1815
"NE","Saline","31151","3115100000","Governor","statewide",4221,"Republican","Pete Ricketts",2406
"NE","Sarpy","31153","3115300000","Governor","statewide",67560,"Democrat","Bob Krist",27632
"NE","Sarpy","31153","3115300000","Governor","statewide",67560,"Republican","Pete Ricketts",39928
"NE","Saunders","31155","3115500000","Governor","statewide",9524,"Democrat","Bob Krist",3016
"NE","Saunders","31155","3115500000","Governor","statewide",9524,"Republican","Pete Ricketts",6508
"NE","Scotts Bluff","31157","3115700000","Governor","statewide",10680,"Democrat","Bob Krist",3439
"NE","Scotts Bluff","31157","3115700000","Governor","statewide",10680,"Republican","Pete Ricketts",7241
"NE","Seward","31159","3115900000","Governor","statewide",7059,"Democrat","Bob Krist",2247
"NE","Seward","31159","3115900000","Governor","statewide",7059,"Republican","Pete Ricketts",4812
"NE","Sheridan","31161","3116100000","Governor","statewide",2011,"Democrat","Bob Krist",498
"NE","Sheridan","31161","3116100000","Governor","statewide",2011,"Republican","Pete Ricketts",1513
"NE","Sherman","31163","3116300000","Governor","statewide",1294,"Democrat","Bob Krist",346
"NE","Sherman","31163","3116300000","Governor","statewide",1294,"Republican","Pete Ricketts",948
"NE","Sioux","31165","3116500000","Governor","statewide",537,"Democrat","Bob Krist",96
"NE","Sioux","31165","3116500000","Governor","statewide",537,"Republican","Pete Ricketts",441
"NE","Stanton","31167","3116700000","Governor","statewide",2264,"Democrat","Bob Krist",435
"NE","Stanton","31167","3116700000","Governor","statewide",2264,"Republican","Pete Ricketts",1829
"NE","Thayer","31169","3116900000","Governor","statewide",2256,"Democrat","Bob Krist",541
"NE","Thayer","31169","3116900000","Governor","statewide",2256,"Republican","Pete Ricketts",1715
